Timestamp,Meet_Recruiter,Age_Joined,Year_Joined,Years_Service,Education_Level,Parents_Ed_Level,Financial_Status,Enlisted_Officer,Join_Motivation,Ethnicity,Gender,,,,
11/1/2019 8:21:21,Coincidental encounter,21-23,2005,Currently Serving,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Prefer not to answer,Male,,,,
11/1/2019 8:24:43,Coincidental encounter,18-20,1995,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:24:56,Coincidental encounter,18-20,1998,12 to 14 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 8:27:20,Coincidental encounter,21-23,,15 to 17 years,4 Year Degree,Completed High School,Middle Class,Officer,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:29:21,Coincidental encounter,18-20,1989,6 to 8 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,American Indian or Alaskan Native,Male,,,,
11/1/2019 8:29:34,Coincidental encounter,18-20,2010,Currently Serving,Some College,2 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:30:01,Coincidental encounter,18-20,2005,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 8:30:02,Coincidental encounter,24-26,1985,Greater than 20 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:32:27,Coincidental encounter,18-20,2006,9 to 11 years,Some College,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:32:49,Coincidental encounter,18-20,2007,Currently Serving,Completed High School,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:33:25,Coincidental encounter,24-26,2010,9 to 11 years,2 Year Degree,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:33:42,Coincidental encounter,21-23,2011,Currently Serving,4 Year Degree,Some college,Upper Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:35:16,Coincidental encounter,18-20,2011,Less than 6,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:35:32,Coincidental encounter,18-20,2011,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:35:52,Coincidental encounter,21-23,2001,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:36:34,Coincidental encounter,18-20,2018,Currently Serving,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:36:46,Coincidental encounter,18-20,1998,15 to 17 years,Completed High School,Some college,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:40:12,Coincidental encounter,18-20,1991,18 to 20 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:43:27,Coincidental encounter,18-20,1998,Greater than 20 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Family Tradition,Hispanic / Latino,Male,,,,
11/1/2019 8:43:33,Coincidental encounter,18-20,2005,9 to 11 years,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:46:08,Coincidental encounter,18-20,2002,6 to 8 years,Some College,4 year degree,Middle Class,Officer,Patriotism,Caucasian,Male,,,,
11/1/2019 8:50:02,Coincidental encounter,18-20,2012,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:50:31,Coincidental encounter,18-20,2003,15 to 17 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Black,Male,,,,
11/1/2019 8:50:33,Coincidental encounter,18-20,2007,Currently Serving,Completed High School,4 year degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
